qst_deliver_message|Dostarcz wiadomość dla {s13}
qst_cathach_colum|Będąc Wikingiem: Cathach of Colum Cille-Księga Bojownika
qst_entregando_pieles|Będąc Wikingiem: Handel futrami.
qst_revenge_exchange|Zemsta: Farma
qst_ulf_testigo|Chroniąc głowę: Zalecając Rolników i Jarla
qst_the_thing|Zemsta: Zgromadzenie
qst_douar_an_enez|Zemsta:Douar-an-Enez
qst_aescesdun|Bitwa:Aescesdun.
qst_svenbn_final|Zemsta: Sven Bycza Szyja.
qst_old_roman|Mur Hadriana: Ocal Głodnych
qst_vc_menu|Viking conquest menu system.
qst_vc_wounds|Viking conquest wound system.
qst_sea_battle_spawn|a spawning system.
qst_team_0_ships|a spawning system.
qst_team_1_ships|a spawning system.
qst_blank_quest_2|Eskortuj biskupa do {s14}.
qst_blank_quest_6|Uchwyć i doprowadź {reg5} kobiet do {s3}
qst_blank_quest_6_text|Starszy z {s3} poprosił Cię o doprowadzenie {reg5} kobiet do wioski (do niewoli).
qst_blank_quest_16|Przynieś {reg25} kawałków {s17} do {s11}
qst_blank_quest_16_text|{s11} poprosiła, być przyniósł jej {reg25} kawałków {s17}.
qst_blank_quest_17|Przynieś 2 kawałki sera i {reg25} butelek wina dla {s11}
qst_blank_quest_17_text|{s11} poprosiła byś przyniósł jej 2 kawałki sera i {reg25} butelek wina.
qst_collect_men|Zemsta: Odwiedź Doccinga
qst_learn_where_merchant_brother_is|Zemsta: Porozmawiaj z Jarlem Kennemerem.
qst_save_relative_of_merchant|Zaatakuj kryjówkę bandytów.
qst_save_town_from_bandits|Ochroń miasto przed bandytami.
qst_quests_end|Koniec zadań
