menu_start_game_0|Welcome to Viking Conquest.
mno_update_danmork4|Testowanie: Dodaj sławy, pieniędzy i żołnierzy.
menu_storyline_cheat|Select a cheat:
mno_hide_lords|After The Messenger Quest: spawn lords in Snotingaham.
mno_douar_1s|Access to Douar-an-Enez (danish side). Before Boar Grove.
mno_douar_2s|Access to Douar-an-Enez (wessex side). Before Boar Grove.
mno_douar_2sbeda|Access to Douar-an-Enez (You need to Beda in party - go to talk to Old Captain)
mno_update_danmork21|Test: ulf test.
mno_douar_back|Final part: Back from Douar-an-Enez (before cattle quest).
mno_oath_mission|Back The Alliance quest to stage previus Join Kingdom Mission.
mno_mission_test_1|Test poprzedniej misji.
mno_mission_test_2|Test ataku floty Svena.
mno_mission_test_4|Pierwsza misja statkiem
mno_mission_test_5|douaranenez lądowanie (strona Wessex)
mno_mission_test_6|douaranenez ladowanie (strona Danii)
mno_mission_test_7|Holmgang (Reginhard)
mno_mission_test_8|Holmgang (Egil)
menu_phaiak_cheats|Tylko do testowania:
mno_vc_menu|vc menu wyłączone: {reg1}
mno_beaufort|Skala Beauforta: {reg1}
mno_crew|A. Wybierz procent załogi. Obecny: {reg1} %%
mno_testdrive|Test jazdy
mno_mission_test_3|D-day (100 ships)
mno_camp_action_4|Wróć do menu obozu.
menu_camp_action|Wybierz działania...
mno_formation|Opcje Formacji.
mno_global_options|Opcje Globalne.
mno_camp_cheat|Menu oszustw!
mno_storyline_cheat|Storyline Cheats!
mno_camp_action_1testing|Testowanie frakcji.
mno_jump_to_scene|Debug: test menu
mno_toggle_cheat_on| Włącz menu oszustw.
mno_toggle_cheat_off| Wyłącz menu oszustw.
menu_camp_recruit_prisoners|Oferujesz swoim więźniom wolność, jeżeli zgodzą się dołączyć do ciebie jako żołnierze. {s18}
mno_camp_recruit_prisoners_accept|Weź ich.
mno_camp_recruit_prisoners_reject|Odrzuć ich.
menu_camp_no_prisoners|Nie masz więźniów, których mógłbyś zwerbować.
menu_camp_action_read_book|Wybierz ksiązkę do przeczytania:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|Aktualny dzień {reg0}. Poziom szczęścia {reg1}. Czy na pewno chcesz odejść?
mno_retire_yes|Tak.
mno_retire_no|Nie.
menu_end_game|Decyzja zapadła¦ Postanawiasz porzucić życie łowcy przygód i osiedlić się. Sprzedajesz broń oraz zbroję, i z pełnym mieszkiem wyruszasz ku zachodowi słońca¦
mno_end_game_bye|Żegnaj.
menu_cattle_herd|Napotykasz stado bydła.
mno_cattle_drive_away|Pognaj bydła naprzód.
mno_cattle_stop|Zatrzymaj stado.
mno_cattle_kill|Zabij pare zwierząt.
mno_leave|Odejdź.
menu_cattle_herd_kill|Ile zwierząt chcesz zabić?
mno_cattle_kill_1|Jedno.
mno_cattle_kill_2|Dwa.
mno_cattle_kill_3|Trzy.
mno_cattle_kill_4|Cztery.
mno_cattle_kill_5|Pięć.
mno_cattle_kill_20|Dwadzieścia.
menu_arena_duel_fight|Pojedynek jest bardzo poważną sprawą, zwłaszcza pojedynek na śmierć i życie. Dwóch wchodzi na arenę, ale tylko jeden wychodzi żywy. Zarówno umysł‚ jak i ciało reaguje na stres i niebezpieczeństwo. Czujesz zimny pot na całym ciele, pojawia się niezależnie od tego, czy jest gorąco, czy nie. To pot walki, a jego obecność oznacza, że jesteś gotow/a/y.
menu_simple_encounter|{s2} Stosunek liczebności twojego oddziału do oddziału przeciwnika wynosi {reg10} do {reg11}.^^{s7}
mno_encounter_attack|Zaatakuj wroga.
mno_encounter_deploy|Rozpocznij bitwę pozostając na obecnych pozycjach.
mno_encounter_order_attack|Rozkaż swoim oddziałom atakować bez Ciebie.
mno_tactical_nuevo|Opcje dowódcy.
mno_encounter_leave|Odejdź.
mno_encounter_retreat|Wycofaj się, pozostawiając kilku żołnierzy osłaniających odwrót.
mno_encounter_surrender|Poddaj się.
menu_encounter_retreat_confirm|Jako członek drużyny o najwyższych umiejętnościach taktycznych, ({reg2}), {reg3?opracowujesz:{s3} opracowujesz plan, który pozwoli tobie i twoim ludziom uciec, konieczne jednak będzie pozostawienie  {reg4} za sobą żołnierzy, aby powstrzymali pościg wroga.
mno_leave_behind|Kontynuuj. Poświęcenie tych ludzi pozwoli uratować resztę.
mno_dont_leave_behind|Nie. Nikogo nie zostawimy.
menu_encounter_retreat|Nakazujesz {reg4} żołnierzom, by powstrzymywali wroga, do czasu aż wycofasz się z resztą drużyny.
menu_order_attack_begin|Twoje oddziały przygotowują się do zaatakowania wroga.
mno_order_attack_begin|Wydaj rozkaz do rozpoczęcia ataku.
mno_call_back|Odwołaj ich.
menu_order_attack_2|{s4}^^Twoje straty: {s8}^^Straty wroga: {s9}
mno_order_attack_continue|Wydaj żołnierzom rozkaz kontynuowania ataku.
mno_order_retreat|Odwołaj swoich żołnierzy.
menu_battle_debrief|{s11}^^Twoje straty:{s8}{s10}^^Straty wroga:{s9}^^Liczba zabitych:{s12}
menu_total_victory|Nie powinieneś tego czytać... {s9}
menu_enemy_slipped_away|{s17}
menu_permanent_damage|{s0}
mno_s0|{s0}
menu_pre_join|Stajesz się świadkiem bitwy, w której walczy {s2} i {s1}. Decydujesz...
mno_pre_join_help_attackers|Wkroczyć, aby wspomóc {s2}.
mno_pre_join_help_defenders|Wesprzec {s1}.
mno_pre_join_leave|Nie wtracać się do tego konfliktu.
menu_join_battle|{s2} prosi o pomoc w walce. {s1} musi teraz stanąć do walki z waszymi połączonymi siłami. Stosunek liczebności twojego oddziału do oddziału przeciwnika wynosi {reg10} do {reg11}
mno_join_attack|Zaatakuj wroga.
mno_join_order_attack|Rozkaż atak wraz z sojusznikami, kiedy ty pozostaniesz w tyle.
mno_join_leave|Odejdź.
menu_join_order_attack|{s4}^^Your casualties: {s8}^^Allies' casualties: {s9}^^Enemy casualties: {s10}
menu_zendar|Wkraczasz do miasta Zendar.
mno_zendar_enter| 
mno_zendar_enter_door|Drzwi do centrum miasta.
mno_zendar_tavern| 
mno_zendar_tavern_door|Drzwi do tawerny.
mno_zendar_merchant| 
mno_zendar_merchant_door|Drzwi do sklepu kupca.
mno_zendar_arena| 
mno_zendar_arena_door|Drzwi na areny.
mno_town_1_leave| 
menu_salt_mine|Wkraczasz do kopalni soli.
mno_enter|Wejdź.
mno_enter_door|Odejdź.
menu_four_ways_inn|Przybywasz do Gospody ""Cztery Drogi".
menu_test_scene|Wchodzisz na sceny testowej.
menu_quarry1|Dojeżdżamy do kamieniołomu. Wszędzie zalegają kilofy i powozy załadowane kamieniem , a ludzie są zajęci wydobyciem.
menu_salt_mine_vc|Dojeżdżamy do kopalni soli. Wszędzie zalegają kilofy i powozy załadowane solą , a ludzie są zajęci wydobyciem.
mno_enter_sm|Wejdź.
mno_leave_sm|Odejdź.
menu_lumber_camp|Dojeżdżamy do obozu drwali.Wszędzie zalegają siekiery i piły oraz powozy załadowane drewnem ,a ludzie są zajęci wyrębem.
mno_enter_lc|Wejdź.
mno_leave_lc|Odejdź.
menu_farmstead_special|Dojeżdżamy do zagrody. Gospodarstwo produkuje i zaopatruje w żywność swoich mieszkańcow . To może być dobry pomysł‚ aby kupić żywność i nakarmić ludzi lub sprzedać te produkty w mieście za większą sumę pieniędzy.
mno_enter_fs|Wejdź.
mno_leave_fs|Odejdź.
menu_hadrian_wall1|Dojeżdżamy do szczątków tego, co było kiedyś Murem Hadriana.
menu_celidon_forest|Przed nami leży dziwne miejsce, które wydaje się emanować mistyczną energią z przeszłości.
menu_hidden_valley|Dojeżdżamy do obco wyglądającego miejsca, które wygląda jak rzymskie ruiny. Twoi ludzie rozbijają obóz‚ podczas gdy ty idziesz na rekonesans.
menu_dhorak_keep|Wchodzisz do Twierdzy Dhorak
menu_join_siege_outside|{s1} znalazłeś się pod oblężeniem {s2}.
mno_approach_besiegers|Zbliżasz się do obozu oblegających.
mno_pass_through_siege|Przedostań się przez linie wroga i wejdź do {s1}.
menu_cut_siege_without_fight|Oblegający pozwalają ci podejśćˇ do bramy, bez wszczynania walki.
menu_besiegers_camp_with_allies|{s1} pozostaje w oblężeniem. Sztandary należące do: {s2} powiewają nad obozem oblegających, gdzie ciebie i twoich ludzi czeka serdeczne powitanie.
mno_talk_to_siege_commander|Poprosiłeś o spotkanie z dowódcą.
mno_join_siege_with_allies|Dołącz do następnego szturmu.
mno_join_siege_stay_back|Wydaj rozkaz żołnierzom by dołączyli do następnego szturmu bez ciebie.
menu_castle_outside|Jesteś na zewnątrz {s2}.{s11} {s3} {s4}
mno_approach_gates|Podejdź do bram i przywitaj się ze strażnikami.
mno_town_sneak|Przebierz się i spróbuj przedostać się za mury {s7} .
mno_castle_start_siege|Rozpocznij oblężenie {reg6?miasta:zamku}.
mno_castle_leave|Odejdź.
menu_castle_guard|Zbliżasz się do bramy. Ludzie na murach obserwują cię uważnie.^^{s10}
mno_request_shelter|Poproś o możliwość wejścia do zamku.
mno_request_meeting_commander|Poproś o spotkanie z kimś.
mno_guard_leave|Odejdź.
menu_castle_entry_granted|Po krótkim oczekiwaniu straże otwierają bramy i pozwalają wam wejść.
menu_castle_entry_denied|Właściciel zamku zakazał wejścia, a dowódca straży poinformował cię, że jego ludzie zaczną strzelać, jeśli podejdziesz bliżej.
menu_castle_meeting|Z kim chcesz się spotkać?
mno_guard_meet_s5|{s5}.
mno_forget_it|Zrezygnuj.
menu_castle_meeting_selected|Twoja prośba o spotkanie omawiana jest wewnątrz, lecz w końcu {s6} pojawia się na dziedzińcu, by z tobą porozmawiać.
menu_port_attack|Atakujesz port {s1}. Masz {reg10} wojska nadającego się do walki przeciwko wrogowi {reg11}.
mno_lead_attack|Poprowadź swoich żołnierzy do nadmorskiego ataku.
mno_attack_stay_back|Wydaj żołnierzom rozkaz ataku, zostając na tyłach...
mno_lift_siege|Zrezygnuj z ataku.
menu_castle_besiege|Oblegasz {s1}. {s2}^^{s15} {s16} {s17} {s18} {s19} {s20} {s21} {s22}
mno_siege_request_meeting|Poproś o spotkanie z dowódcą zamku.
mno_siege_warfare_p|Wybierz działania wojenne (Planowanie oblężenia).
mno_siege_assault_p|Wybierz działania wojenne (Planowanie ataku).
mno_wait_24_hours|Zaczekaj do jutra.
menu_siege_plan|Możesz spotkać się z doradcami, aby zaplanować oblężenie i spróbować podbić {s4} bez ponoszenia większych strat. Twoja strategia może pomóc ci zdobyć to miejce poprzez nasilający się głód i i spadek morale obrońców .^^{s15} {s17} {s18} {s19} {s20}
mno_build_circunvalation|Blokada: zbuduj punkty kontrolne i małe obozy wokól {s4} (250 ludzi potrzebnych).
mno_close_circunvalation|Twoi ludzie ciężko pracowali, a punkty kontrolne wokół {s4} są zbudowane. Teraz możesz prowadzić aktywną obserwację.
mno_town_investigar|Zinfiltruj miejsce i spróbuj ocenić możliwości obronne {s4}. Umiejętność śledzenia pomaga.
mno_traicion_interna|Znajdź zdrajcę wśród obrońców‚w {s4}.
mno_traicion_interna3|Jakieś wieści od ludzi wysłanych w poszukiwaniu zdrajcy?
mno_infiltracion_interna|Wyślij kilku ludzi, aby zinfiltrowali zabudowania {s4}, aby później spowodować uszkodzenia.
mno_infiltracion_interna3|Jakieś wieści od ludzi wysłanych w celu infiltracji?
mno_build_varios|Zarządź budowę urządzeń sanitarnych w celu zapobiegania chorobom.
mno_destruir_campos_a|Ograb pobliskie wioski i gospodarstwa aby zmniejszyć możliwości wroga w zdobywaniu pożywienia.
mno_destruir_campos_b|Jakieś wieści od ludzi wysłanych w celu ograbienia pobliskich upraw i gospodarstw?
menu_siege_assault|Czas jest kluczem, jednak boisz się przybycia ewentualnej odsieczy. Ich przybycie może oznaczać poważne straty wśród Twoich ludzi. Jednak wiesz na co się decydujesz.^^{s17} {s18} {s19}
mno_scout_investigar|Przeprowadź zwiad by zebrać informacje o {s4}.
mno_poniendo_elementos_mantles|Zwołaj przednią straż, i każ jej przygotować armię pod swoim dowództwem.
mno_poniendo_elementos|Zwołaj przednią straż, przygotuj sprzęt oblężniczy, i przygotuj się do poprowadzenia armii pod swoim dowÄ‚Ĺ‚dztwem.
mno_castle_lead_attack|Godzina nadeszła. Poprowadź swoich żołnierzy do ataku! Niech poleje się krew !.
mno_build_mantlet|Zbuduj osłony.
mno_build_ladders|Zarzadź budowanie drabin, aby przygotować atak na twierdzę. Atak może przynieść duże straty.
mno_build_siege_tower|Zarządź budowanie wieży oblężniczej i sprzętu, aby przygotować atak na twierdzę. Ataki może przynieść duże straty.
menu_siege_attack_meets_sally|Obrońcy kontratakują w odpowiedzi na Twój atak.
menu_nofood_siege_defenders_sally|Brak żywności zmusza zdesperowanych obrońców {s4} do podjęcia próby przełamania oblężenia.
menu_surrender_siege_defenders_starved|Obrońcy {s4} nie są w stanie bronić się dłużej. Brak żywności osłabił ich, najsilniejsi padają z głodu, a w niektórych przypadkach potrzeba zaspokojenia głodu doprowadziła do kanibalizmu. ^ {S4} jest gotowe do poddania się...
menu_castle_attack_walls_simulate2|{s4}^^Twoje straty:{s8}^^Straty wroga: {s9}
menu_sneak_into_town_suceeded2|W przebraniu i pod osłoną ciemności, można przeniknąć do {s4}. Nadszedł czas, aby się rozejrzeć i znaleźć luki w ich obronie.
menu_construct_saneamiento|Warunki sanitarne pomogą w zapobieganiu szczurom i chorobom. Możliwe jest zbudowanie latryny i rurociągóww, aby zapobiec gromadzeniu się błota i brudu z deszczem oraz wykopać zbiornik aby mieć dostęp do pitnej wody. Czy chcesz to zrobić? ^ To zajmie 8 godzin.
mno_build_saneamiento|Zrób to.
menu_construct_circunvalation|Blokada chroni żołnierzy podczas oblężenia, pomaga uniknąć grup harcowników przeciwnika i uniemożliwia dostarcznie żywności i posiłków. Obniża również morale wroga i pomaga negocjować warunki poddania ^^ Jako członek drużyny z największymi umiejętnościami inżyniera, ({reg2}) {? Reg3 oceniasz: {s3} szacunkowo} że zbudowanie blokady wokoł miejsca zajmie {reg4} godzin.
mno_build_circun_cont|Zrób to.
menu_traicion_interna2|Twoje prace oblężnicze zaczynają wpływać na morale obrońców. Niektórzy z naszych żołnierzy chcą skontaktować się z garnizonem lub mieszkańcami w {s4} i sprawdzić, czy nie ma wśród nich zdrajców co ułatwiło podbój. Potrzebują 500 peningów do wykonania pracy.
mno_intentar_traicion|Pozwól ludziom szukać zdrajców.
menu_traicion_resultado1|Wrócili bez wieści. Żaden z mieszkanców nie jest zdrajcą.
mno_back_behind|Dobrze, pech.
menu_traicion_resultado2|Panie! Nasi ludzie zostali odkryci w pobliżu muru i walczą by uciec z {s4}. Spójrz są w porcie. Starają się uciec, ale są otoczeni...
mno_ayudar_infiltrados|Rozkaz: wysłać dodatkową grupę ludzi do pomocy walczącym.
mno_leave_men|Pozostaw ludzi swojemu losowi. Wiedzieli na co się piszą.
menu_traicion_resultado3|Twoi ludzie wrócili . Zdrajca podłożył ogień w stodole i wkrótce uciekł {s4} by przyłączyc się do twojej do armii. Przeciwnik straci cenny zapass żywnosci z tego powodu.
mno_back_to_siege|Doskonale.
menu_traicion_resultado4|Twoi ludzie wrócili.Z ich raportu wynika że jest zdrajca, który zna procedury garnizonu, i jest gotów wprowadzić małą grupkę wrogów w zasadzkę, gdy przybędą uzupełnić zapasy wody, z pobliskiego strumienia poza murami...
mno_atacar_emboscada_player|Idź z najbliższymi towarzyszami broni.
mno_atacar_emboscada|Rozkaz: wysłać grupę ludzi ze zdrajcą aby przeprowadzić zasadzkę.
menu_emboscada_player|Idźmy przez zarośla, weźmiemy wrogów z zaskoczenia i da nam to przewagę. Teraz garnizon pomyśli dwa razy nim wyśle ludzi na zewnątrz murów.
mno_emboscada_playerok|Zwycięstwo!
menu_emboscada_nada|Twoi ludzie poszli przez zarośla, zdala od czujnych oczu na murach, ale gdy doszli do miejsca spotkania nie było tam nikogo. Przypuszczamy, że zdrajcę zdemaskowano lub zmienił zdanie. Twoi ludzie wrócili rozczarowani.
mno_emboscada_nanai|Nie martwcie się, będzie inna okazja.
menu_emboscada_lose|Alarm! Zdrada! Zdrajca poprowadził twoich ludzi w zasadzkę. Walczą rozpaczliwie, pozostawiając wielu na polu.
mno_regreso_lucha|Sprawdziły się twoje najgorsze obawy.
menu_emboscada_victory|Zdrajca poprowadził swoich ludzi w nocy przez wzgórze, ścieżką do studni. Twoi ludzie zajeli pozycje w zaroślach, w ciszy, ich twarze są zabarwione na czarno. O świcie, duży oddział przeciwnika zbliża się do wody. ^^ Okrzyk bojowy wypełnia dolinę , gdy twoi żołnierze uderzają jak fala śmierci na wroga ... zabijając wielu.
menu_traicion_resultado5|Gdy twoi ludzie wracają, mówią ci , że skontaktowali się z człowiekiem, który kontroluje wydawanie racji, obiecał podnieść ceny żywności obleganym, aby siać niezadowolenie, co uczyni ich bardziej skłonnymi do opuszczenia twierdzy.
mno_traicion_moral|Doskonale!
menu_traicion_lucha|Twoi ludzie walczą na śmierć i życie przy murach, gdzie wszystko sprzysiegło się przeciwko nim. Możesz patrzeć jak walczą starając się do ciebie dotrzeć. Pozostawiają za sobą wiele ciał. ^^ twoje straty: {S8} ^^ straty nieprzyjaciela: {s9}
menu_infiltracion_resultado1|Wrócili bez wieści. Nie byli w stanie wejść do osady.
menu_infiltracion_resultado2|Panie! Naszych ludzi odkryto w {s4}. Niestety, żaden z nich nie wrócił. Zostali zabici lub schwytani.
mno_muertos_infiltrado|Straszne wieści!
menu_infiltracion_resultado3|Zwycięstwo! Udało nam podpalić kilka spichlerzy. Wróg jest zdemoralizowany. Byc może nadszedł czas, by zapytać się ich czy nie chcą sie poddać.
menu_infiltracion_resultado3_c|Zwycięstwo! Zabiliśmy wiele sztuk bydła i zatruliśmy źródła wody. Wróg jest zdemoralizowany a autorytet władcy podkopany. Być może nadszedł czas, by zapytać ich czy nie chcą się poddać.
menu_infiltracion_resultado4|Twoi ludzie wrócili.Mówią , że niektórzy mieszkańcy są niezadowoleni, a część z nich jest gotowa aby do nas przystać. Jeżeli sie zgodzisz, opuszczą miasto w nocy i przyłączą się do twojej armii. Przed wyjazdem, obiecują zasiać trwogę w sercach obrońców , bu ułatwić podbój.
mno_aceptar_si|Powitajmy ich.
menu_infiltracion_resultado4_c|Twoi ludzie wrócili. Powiedzieli, że zatruli wodę w niektórych studniach i okolicznych strumieniach. To powinno osłabić morale obrońców.
mno_aceptar_ok|To dobra wiadomość. Zdobycie garnizonu będzie wtedy łatwiejsze.
menu_infiltracion_resultado5|Och, panie. Wróg przysłał worek z głowami naszych ludzi. Niektórzy z naszych żołnierzy go widzieli co wywołało u nich niepokój i wpłyneło na ich morale.
mno_infiltracion_moral|Tchórze! Myślą że parę głów wpłynie na  morale mojej armii? Są stadem owiec czy męższczyznami?
menu_campos_cercanos1|Panie, uprawy i gospodarstwa zostały spalone, jednak nie udało się nam zdobyć żywności, ponieważ nie jest to okres żniw.
mno_back_behind_d|Cóż trudno, nie martwcie się.
menu_campos_cercanos2|Panie, uprawy i gospodarstwa zostały spalone, zdobylimy mnóstwo żywności, ponieważ jest okres żniw.
mno_back_behind_c|Doskonale.Wpaniale! Zapasów nigdy nie za wiele.
menu_campos_cercanos2_c|Panie, uprawy i gospodarstwa zostały spalone, ziarna są wciąż zielone ,ale jadalne. Znaleźliśmy mnóstwo jedzenia.
menu_campos_cercanos3|Panie, uprawy zostały spalone, ale jest już po czasie żniw i nie ma żadbych ziaren do zabrania , ale rolnicy zostawili trochę bydła.
mno_back_behind_b|Wpaniale!Bydła nigdy nie za dużo.
menu_campos_cercanos4|Napotkaliśmy problemy. Pola zostały spalone , ale farmerzy wraz z żołnierzami z garnizonu stawili nam opór. Nie obyło się bez ofiar.^^Twoje straty: {s8}^^Straty nieprzyjaciela: {s9}
mno_back_behind_a|Straszne wieści!
menu_poner_escaleras|Twoi podkomendni wzieli drabiny,łopaty i inny przydatny przy oblężeniu ekwipunek... Wraz z grupą uzbrojoną w broń dystansową ruszyłeś naprzód, zostaliście ostrzelani wrogimi pociskami. Serce zabiło szybciej w twojej piersi, jakby wcześniejsze bitwy nie miały miejsca , a ta była tą pierwszą . Dreszcze, wszechobecna pożoga i zimny pot zawsze im towarzyszyły . Rozkazałeś swoim ludziom by uformowali zwarty szyk z tarcz byście mogli podejść bliżej murów...^^Twoje straty: {s8}^^Straty nieprzyjaciela: {s9}
mno_back_behind_esc1|Twoi ludzie zwyciężyli, to twój czas...
menu_poner_escaleras_mantlets|Twoi podkomendni wzieli drabiny,łopaty i inny przydatny przy oblężeniu ekwipunek... Wraz z grupą uzbrojoną w broń dystansową ruszyłeś naprzód chroniąc się za osłonami, zostaliście ostrzelani wrogimi pociskami. Serce zabiło szybciej w twojej piersi, jakby wcześniejsze bitwy nie miały miejsca , a ta była tą pierwszą . Dreszcze, wszechobecna pożoga i zimny pot zawsze im towarzyszyły . Rozkazałeś swoim ludziom by uformowali zwarty szyk z tarcz byście mogli podejść bliżej murów . Użycie osłon ocaliło wiele żyć .^^Twoje straty: {s8}^^Straty nieprzyjaciela: {s9}
mno_back_behind_esc2|Twoi ludzie zwyciężyli, to twój czas...
menu_informacion_ciudad|Przystanek zwiadowców jest przed tobą: '{s11}^^{s12} {s1} {s5}^^{s17}
menu_castle_besiege_inner_battle|{s1}
menu_build_mantles2|Osłony pomogą chronić twoich ludzi gdy będą używać ekwipunku potrzebnego przy oblężeniu . Uratują wiele żyć . Jako członek drużyny z największymi umiejętnościami inżyniera, ({reg2}), {reg3? oceniasz:{s3} szacunkowo} że zbudowanie osłon zajmie {reg4} godzinę.
mno_build_mantles|Zrób to.
menu_construct_ladders|Jako członek drużyny z największymi umiejętnościami inżyniera , ({reg2}), {reg3? oceniasz:{s3} szacunkowo} że zbudowanie wystarczającej ilości rzeczy potrzebnych przy oblężeniu zajmie {reg4} godzin.
mno_build_ladders_cont|Zrób to.
menu_construct_siege_tower|Jako członek drużyny z największymi umiejętnościami inżyniera , ({reg2}), {reg3? oceniasz:{s3} szacunkowo} że zbudowanie wieży oblężniczej i innych rzecy potrzebnych przy oblężeniu zajmie {reg4} godzin.
mno_build_siege_tower_cont|Zacznij budować.
menu_castle_attack_walls_simulate|{s4}^^Twoje straty: {s8}^^Straty nieprzyjaciela: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^Twoje straty: {s8}^^Straty sojuszników: {s9}^^Straty nieprzyjaciela: {s10}
menu_castle_taken_by_friends|Nie ma tu czego ogladać.
menu_castle_taken|Bitwa w {s60} ma się ku końcowi. Twoje wojska z wielką chęcią splądrują {reg2?town:fort}. {s10}^{s4}
mno_saqueo_noallowed|Podbito ale nie splądrowano {reg2?town:fort}.
mno_saqueo_normal|Splądrowano i pozostawiono {reg2?town:fort}.
mno_saqueo_total|Zniszczono miejsce i zabito mieszkańców.
menu_castle_taken_plunder|Splądrowano {reg2?town:fort}. Zdobyto {reg7} peningów.
menu_castle_taken_native|{s3} został zdobyty przez twoje wojska, i od teraz masz pełną kontrolę nad {reg2?town:fort}. {reg1? Możesz tu zostawić wojska by go broniły w razie , gdy wróg będzię chciał go odzyskać. Powinieneś również zdecydować czy zatrzymasz {reg2?town:castle} dla siebie czy podarujesz jako lenno wasalowi...:}
menu_castle_taken_2|{s3} został zdobyty przez twoje wojska, i od teraz masz pełną kontrolę nad fortem. Czas posłać gońca do {s9} z wieściami o twoim zwycięstwie. {s5}
mno_castle_taken_claim|Poproś o nadanie {s3} tobie.
mno_castle_taken_claim_2|Poproś o nadanie {s3} {reg59?mąż:żona}.
mno_castle_taken_no_claim|Nie proś o żadne lenno.
menu_saqueo_loot_continue|Ta kolonia została ograbiona.
menu_requested_castle_granted_to_player|Otrzymujesz wieści od twojego seniora, {s3}.^^ {reg4?Ona:On} decyduje się nagrodzić {s2}{reg3? wraz z przylegającymi wioskami {s4}:} ciebie, razem ze wszystkimi wiążącymi się z tym tytułami, oraz pozwala nadać {reg4?jej:jemu} nazwę, będzie należeć do ciebie tak długo jak będziesz przestrzegał przysięgi wierności.
menu_requested_castle_granted_to_player_husband|Otrzymujesz wieści od twojego seniora, {s3}.^^ {reg4?Ona:On} decyduje się nagrodzić {s2}{reg3? wraz z przylegającymi wioskami  {s4}:} twojego/twojej żonie/mężowi, {s7}.
menu_requested_castle_granted_to_another|Otrzymujesz wieści od twojego seniora, {s3}.^^ 'Jestem pod wielkim wrażeniem twoich dzielnych wyczynów które przyczyniły się do zdobycia {s2}. Twoje zwycięstwo raduje nasze serca. Spytałeś/aś czy oddam zamek pod twoją komendę, ale obawiam się że nie mogę cię nim nagrodzić, ponieważ posiadasz już włości w moim królestwie. Natomiast wysłałem ci {reg6} peningów by pokryć koszty koszty twojej kampanii, ale {s2} nadaję {s5}.'
mno_accept_decision|Zaakceptuj decyzję.
mno_leave_faction|Zostałeś pokrzywdzony! Wypowiedz przysięgę wierności swojemu seniorowi!
menu_requested_castle_granted_to_another_female|Otrzmujesz wieści od twojego seniora, {s3}.^^ 'Jestem pod wielkim wrażeniem twoich dzielnych wyczynów które przyczyniły się do zdobycia {s2}. Twoje zwycięstwo raduje nasze serca. Spytałeś/ąś czy oddam zamek pod komendę twojemu mężowi, ale obawiam się że nie mogę go nim nagrodzić, ponieważ posiada on już włości w moim królestwie. Natomiast wysłałem ci {reg6} peningów by pokryć koszty twojej kampani, ale {s2} nadaję {s5}.'
menu_leave_faction|Wypowiedzenie przysięgi wierności to poważna rzecz. Twój senior odbierze ci ziemie i włości. Jeżeli jednak zwrócisz je z własnej woli nie oskarży cię o zdradę i nie ukaże.
mno_leave_faction_give_back|Wypowiedz przysięge wierności ,ale zatrzymaj ziemię i włości.
